INDEX,Datetime,UNIX_time,LV_time,FG1x,FG2x,FG3x,FG1y,FG2y,FG3y,FG1z,FG2z,FG3z
118,20220923_153306,1663972386.621805670,3746817186.621805670,11.88743,97.97447,29.92173,-163.65130,-185.12889,-359.08411,60.84595,92.43761,3.51387
119,20220923_153307,1663972387.121256830,3746817187.121256830,11.87954,97.97385,29.91482,-163.65043,-185.12545,-359.08189,60.84928,92.43711,3.51510
120,20220923_153307,1663972387.621951100,3746817187.621951100,11.88879,97.97336,29.91532,-163.64403,-185.12545,-359.07695,60.85039,92.42997,3.50980
121,20220923_153308,1663972388.121672630,3746817188.121672630,11.88706,97.97656,29.91938,-163.64685,-185.12778,-359.07412,60.84768,92.43970,3.50783
122,20220923_153308,1663972388.621389390,3746817188.621389390,11.88213,97.97299,29.92173,-163.64574,-185.12642,-359.07426,60.85261,92.44106,3.50672
123,20220923_153309,1663972389.122235300,3746817189.122235300,11.88620,97.97496,29.91815,-163.64537,-185.12939,-359.07955,60.85310,92.43625,3.51313
124,20220923_153309,1663972389.622434620,3746817189.622434620,11.88373,97.97299,29.92234,-163.64205,-185.12076,-359.08325,60.84977,92.43995,3.51387
125,20220923_153310,1663972390.122458460,3746817190.122458460,11.88792,97.97792,29.91396,-163.64907,-185.12557,-359.08523,60.85630,92.43711,3.51337
126,20220923_153310,1663972390.622478480,3746817190.622478480,11.89211,97.97767,29.91556,-163.64353,-185.12753,-359.07388,60.85310,92.43514,3.51091
127,20220923_153311,1663972391.122503280,3746817191.122503280,11.89310,97.97730,29.91975,-163.63823,-185.12753,-359.08115,60.85433,92.43835,3.50549
128,20220923_153311,1663972391.622166630,3746817191.622166630,11.88879,97.97262,29.91667,-163.63823,-185.12298,-359.08644,60.84817,92.43391,3.50808
129,20220923_153312,1663972392.122575280,3746817192.122575280,11.89162,97.97385,29.91408,-163.64045,-185.12298,-359.08115,60.85334,92.43218,3.51029
130,20220923_153312,1663972392.623797420,3746817192.623797420,11.88879,97.97644,29.91643,-163.63934,-185.12138,-359.08349,60.85051,92.43748,3.51276
131,20220923_153313,1663972393.123351100,3746817193.123351100,11.89519,97.97545,29.92074,-163.63577,-185.12249,-359.08484,60.85470,92.44217,3.50894
132,20220923_153313,1663972393.623265740,3746817193.623265740,11.88989,97.97262,29.92000,-163.63639,-185.12101,-359.08065,60.85384,92.43896,3.51276
133,20220923_153314,1663972394.123279090,3746817194.123279090,11.88952,97.97176,29.92111,-163.64070,-185.12716,-359.08201,60.84644,92.44044,3.51054
134,20220923_153314,1663972394.623476030,3746817194.623476030,11.88620,97.97126,29.92197,-163.64094,-185.12347,-359.08239,60.85359,92.43785,3.50881
135,20220923_153315,1663972395.123143200,3746817195.123143200,11.88891,97.97176,29.91901,-163.63835,-185.12520,-359.08694,60.85470,92.43711,3.50844
136,20220923_153315,1663972395.623209000,3746817195.623209000,11.89236,97.97792,29.92025,-163.64611,-185.12150,-359.07905,60.85421,92.43724,3.50931
137,20220923_153316,1663972396.123190400,3746817196.123190400,11.88891,97.97656,29.91692,-163.63232,-185.12716,-359.07857,60.85803,92.43748,3.51103
138,20220923_153316,1663972396.624014380,3746817196.624014380,11.89606,97.97410,29.91988,-163.63503,-185.12298,-359.07905,60.85261,92.44143,3.51079
139,20220923_153317,1663972397.123516080,3746817197.123516080,11.88977,97.97052,29.92234,-163.63281,-185.12520,-359.08115,60.85187,92.43995,3.51251
140,20220923_153317,1663972397.623828890,3746817197.623828890,11.89236,97.97718,29.91680,-163.64772,-185.12729,-359.08263,60.85507,92.43958,3.51103
141,20220923_153318,1663972398.123522280,3746817198.123522280,11.89273,97.97262,29.92234,-163.63244,-185.12557,-359.08165,60.85014,92.43896,3.51498
