INDEX,Datetime,UNIX_time,LV_time,FG1x,FG2x,FG3x,FG1y,FG2y,FG3y,FG1z,FG2z,FG3z
2317,20220923_171710,1663978630.563469410,3746823430.563469410,10.96392,90.44850,27.43883,-162.91325,-187.00591,-362.24439,60.78359,81.08550,9.30533
2318,20220923_171711,1663978631.063198570,3746823431.063198570,10.96762,90.45035,27.43390,-162.91473,-187.01406,-362.24785,60.78446,81.08390,9.30101
2319,20220923_171711,1663978631.563326360,3746823431.563326360,10.96577,90.44998,27.44388,-162.91842,-187.00727,-362.24353,60.78668,81.08809,9.30434
2320,20220923_171712,1663978632.063514230,3746823432.063514230,10.96059,90.45097,27.44154,-162.92015,-187.01392,-362.24144,60.78261,81.08587,9.30040
2321,20220923_171712,1663978632.564230440,3746823432.564230440,10.96244,90.44628,27.44043,-162.91928,-187.01097,-362.24070,60.78483,81.08390,9.30311
2322,20220923_171713,1663978633.064614300,3746823433.064614300,10.97033,90.44986,27.43747,-162.91535,-187.00863,-362.24685,60.78150,81.08476,9.30299
2323,20220923_171713,1663978633.564689640,3746823433.564689640,10.96713,90.45565,27.43303,-162.91411,-187.00986,-362.24451,60.78249,81.08784,9.30237
2324,20220923_171714,1663978634.064164640,3746823434.064164640,10.96700,90.45084,27.43969,-162.92027,-187.01417,-362.24563,60.78544,81.08710,9.30138
2325,20220923_171714,1663978634.564805510,3746823434.564805510,10.97230,90.45232,27.44240,-162.91646,-187.01442,-362.25042,60.78532,81.08710,9.30483
2326,20220923_171715,1663978635.065048220,3746823435.065048220,10.97144,90.45318,27.43796,-162.92064,-187.00690,-362.24182,60.78101,81.08957,9.30927
2327,20220923_171715,1663978635.565316680,3746823435.565316680,10.96910,90.45010,27.44339,-162.91879,-187.01307,-362.24167,60.77977,81.08341,9.30483
2328,20220923_171716,1663978636.065055370,3746823436.065055370,10.96750,90.45269,27.43735,-162.91547,-187.01319,-362.24377,60.78384,81.08784,9.30249
2329,20220923_171716,1663978636.565715310,3746823436.565715310,10.97156,90.45935,27.44117,-162.91016,-187.00961,-362.24256,60.78199,81.08723,9.30718
2330,20220923_171717,1663978637.065887930,3746823437.065887930,10.96713,90.45713,27.43624,-162.91152,-187.01898,-362.24132,60.77940,81.08735,9.30792
2331,20220923_171717,1663978637.566240790,3746823437.566240790,10.97045,90.45281,27.44684,-162.91399,-187.00480,-362.24377,60.77854,81.08513,9.30533
2332,20220923_171718,1663978638.066735270,3746823438.066735270,10.96848,90.45799,27.43784,-162.91424,-187.01344,-362.24685,60.78766,81.08365,9.30447
2333,20220923_171718,1663978638.566734310,3746823438.566734310,10.97230,90.45898,27.44092,-162.91288,-187.00961,-362.25019,60.78877,81.08451,9.31137
2334,20220923_171719,1663978639.066760060,3746823439.066760060,10.96910,90.44641,27.44030,-162.90956,-187.01159,-362.24451,60.79222,81.08451,9.30742
2335,20220923_171719,1663978639.566734310,3746823439.566734310,10.96417,90.45269,27.44141,-162.91201,-187.00974,-362.24587,60.78606,81.08488,9.31100
2336,20220923_171720,1663978640.066689010,3746823440.066689010,10.97181,90.44678,27.44486,-162.91547,-187.01072,-362.24082,60.77558,81.08217,9.30311
2337,20220923_171720,1663978640.566734310,3746823440.566734310,10.96848,90.45318,27.43993,-162.91411,-187.01035,-362.24439,60.78138,81.08304,9.30373
2338,20220923_171721,1663978641.066309450,3746823441.066309450,10.96503,90.45318,27.44215,-162.91695,-187.01602,-362.24144,60.78976,81.08723,9.30952
2339,20220923_171721,1663978641.566242220,3746823441.566242220,10.96971,90.45454,27.44979,-162.91103,-187.01159,-362.24132,60.78606,81.08796,9.30730
2340,20220923_171722,1663978642.066366200,3746823442.066366190,10.96380,90.45208,27.44573,-162.90869,-187.01270,-362.25290,60.78446,81.08587,9.30681
2341,20220923_171722,1663978642.566682340,3746823442.566682340,10.97390,90.44604,27.44018,-162.91854,-187.01319,-362.24735,60.78655,81.08513,9.30249
2342,20220923_171723,1663978643.066165450,3746823443.066165450,10.97132,90.45097,27.44080,-162.90979,-187.01491,-362.24699,60.78815,81.07971,9.30434
2343,20220923_171723,1663978643.566735270,3746823443.566735270,10.97156,90.45121,27.43981,-162.90942,-187.00998,-362.23700,60.78495,81.08760,9.30077
2344,20220923_171724,1663978644.066736220,3746823444.066736220,10.96639,90.44998,27.43464,-162.91387,-187.01392,-362.24217,60.78840,81.08710,9.29954
2345,20220923_171724,1663978644.566731930,3746823444.566731930,10.97144,90.45355,27.44043,-162.91879,-187.00998,-362.24551,60.78286,81.08772,9.30533
2346,20220923_171725,1663978645.066666600,3746823445.066666600,10.96910,90.45639,27.44597,-162.91337,-187.00924,-362.23836,60.78569,81.07958,9.30434
2347,20220923_171725,1663978645.566805360,3746823445.566805360,10.96786,90.45281,27.44486,-162.91115,-187.01147,-362.24279,60.78458,81.08673,9.30681
2348,20220923_171726,1663978646.066801550,3746823446.066801550,10.96651,90.45072,27.43981,-162.91078,-187.01614,-362.23638,60.79074,81.08686,9.30570
2349,20220923_171726,1663978646.566660880,3746823446.566660880,10.96971,90.45023,27.43956,-162.91854,-187.00826,-362.24315,60.78742,81.08994,9.30447
2350,20220923_171727,1663978647.067636970,3746823447.067636970,10.96602,90.44887,27.44708,-162.91769,-187.00826,-362.23946,60.78742,81.08575,9.30336
2351,20220923_171727,1663978647.567961690,3746823447.567961690,10.97304,90.45577,27.44203,-162.92212,-187.01011,-362.23960,60.79172,81.08636,9.30286
2352,20220923_171728,1663978648.067731380,3746823448.067731380,10.96565,90.45861,27.44794,-162.91214,-187.01332,-362.24120,60.78815,81.08402,9.29880
2353,20220923_171728,1663978648.567768100,3746823448.567768100,10.96626,90.45023,27.44758,-162.91547,-187.01380,-362.24058,60.78865,81.08895,9.30052
2354,20220923_171729,1663978649.067771910,3746823449.067771910,10.96602,90.45109,27.44117,-162.92101,-187.01491,-362.24537,60.78742,81.08772,9.30668
2355,20220923_171729,1663978649.567773820,3746823449.567773820,10.96860,90.44764,27.43772,-162.92113,-187.01060,-362.24477,60.78717,81.08377,9.30089
2356,20220923_171730,1663978650.067774300,3746823450.067774290,10.96836,90.44924,27.44462,-162.92027,-187.01725,-362.24389,60.78569,81.08082,9.30064
2357,20220923_171730,1663978650.567971230,3746823450.567971230,10.96947,90.45528,27.44117,-162.91658,-187.00715,-362.24563,60.77891,81.08587,9.30299
2358,20220923_171731,1663978651.067724700,3746823451.067724700,10.96392,90.45281,27.43537,-162.91695,-187.00998,-362.24341,60.78039,81.08747,9.30126
2359,20220923_171731,1663978651.567767140,3746823451.567767140,10.96984,90.44825,27.44018,-162.91965,-187.00961,-362.24537,60.78631,81.08513,9.29917
2360,20220923_171732,1663978652.067771430,3746823452.067771430,10.97045,90.45072,27.44215,-162.91448,-187.01097,-362.24144,60.78631,81.08353,9.30656
2361,20220923_171732,1663978652.567767140,3746823452.567767140,10.97341,90.46317,27.44585,-162.91103,-187.01540,-362.24599,60.78618,81.09031,9.30052
2362,20220923_171733,1663978653.067986490,3746823453.067986490,10.97119,90.44875,27.44203,-162.91732,-187.01060,-362.23824,60.78803,81.08796,9.30385
2363,20220923_171733,1663978653.567768100,3746823453.567768100,10.96306,90.44838,27.43759,-162.91695,-187.00974,-362.24058,60.78384,81.08513,9.29744
2364,20220923_171734,1663978654.067705630,3746823454.067705630,10.97415,90.45010,27.43747,-162.91596,-187.01097,-362.24229,60.78557,81.08156,9.30459
2365,20220923_171734,1663978654.567729000,3746823454.567729000,10.97107,90.44493,27.43919,-162.91978,-187.01406,-362.24711,60.78187,81.08513,9.30730
2366,20220923_171735,1663978655.067622180,3746823455.067622180,10.97107,90.45553,27.44499,-162.92002,-187.01344,-362.24144,60.78446,81.08944,9.30360
2367,20220923_171735,1663978655.567776680,3746823455.567776680,10.96676,90.45503,27.44178,-162.91559,-187.00949,-362.24847,60.77904,81.08821,9.30582
2368,20220923_171736,1663978656.067733760,3746823456.067733760,10.97045,90.44616,27.43932,-162.91928,-187.01184,-362.24711,60.78199,81.08575,9.30274
2369,20220923_171736,1663978656.567522530,3746823456.567522520,10.97390,90.44936,27.43944,-162.91288,-187.01134,-362.24968,60.78162,81.07958,9.30212
2370,20220923_171737,1663978657.067772860,3746823457.067772860,10.96848,90.44899,27.43513,-162.92434,-187.01134,-362.23910,60.78175,81.08501,9.30447
2371,20220923_171737,1663978657.567743780,3746823457.567743780,10.96836,90.44813,27.43390,-162.92027,-187.01134,-362.23984,60.78273,81.08895,9.30163
2372,20220923_171738,1663978658.067755220,3746823458.067755220,10.97021,90.44616,27.43956,-162.92015,-187.01171,-362.24279,60.78532,81.09277,9.30471
2373,20220923_171738,1663978658.567751880,3746823458.567751880,10.97255,90.44739,27.43414,-162.92496,-187.00949,-362.23984,60.78261,81.08180,9.30299
2374,20220923_171739,1663978659.067664150,3746823459.067664150,10.96996,90.44542,27.44462,-162.92113,-187.01023,-362.24377,60.78175,81.08895,9.30200
2375,20220923_171739,1663978659.567715170,3746823459.567715170,10.97427,90.44443,27.43969,-162.91707,-187.01134,-362.24403,60.78729,81.08476,9.30865
2376,20220923_171740,1663978660.067731860,3746823460.067731860,10.97169,90.45171,27.44030,-162.91965,-187.00591,-362.24773,60.78396,81.08513,9.30718
2377,20220923_171740,1663978660.567700860,3746823460.567700860,10.97748,90.44936,27.43587,-162.91854,-187.01429,-362.24389,60.78323,81.08821,9.29991
2378,20220923_171741,1663978661.067883010,3746823461.067883010,10.96811,90.45208,27.44252,-162.91498,-187.01085,-362.24182,60.78372,81.08131,9.30656
2379,20220923_171741,1663978661.567709450,3746823461.567709440,10.96725,90.44727,27.44203,-162.91337,-187.00900,-362.24599,60.78421,81.08094,9.30397
2380,20220923_171742,1663978662.067803380,3746823462.067803380,10.97378,90.44875,27.43747,-162.91683,-187.01738,-362.24403,60.78815,81.08673,9.30422
2381,20220923_171742,1663978662.567702290,3746823462.567702290,10.97218,90.45084,27.43981,-162.91226,-187.01221,-362.24377,60.78618,81.08661,9.30323
2382,20220923_171743,1663978663.067752840,3746823463.067752840,10.97021,90.44493,27.43562,-162.91448,-187.01134,-362.24759,60.78532,81.08304,9.30212
2383,20220923_171743,1663978663.567711830,3746823463.567711830,10.97144,90.45134,27.44191,-162.92533,-187.01332,-362.24451,60.78384,81.08907,9.30508
2384,20220923_171744,1663978664.067900180,3746823464.067900180,10.97119,90.45318,27.43944,-162.92138,-187.01553,-362.24551,60.78236,81.08710,9.30459
2385,20220923_171744,1663978664.567765710,3746823464.567765710,10.96281,90.45023,27.44339,-162.91349,-187.00961,-362.24365,60.77706,81.08883,9.30151
2386,20220923_171745,1663978665.067784790,3746823465.067784780,10.97341,90.44998,27.43698,-162.91424,-187.01023,-362.23984,60.78175,81.08587,9.30040
2387,20220923_171745,1663978665.567063330,3746823465.567063330,10.96971,90.44752,27.43993,-162.92015,-187.01171,-362.24229,60.78680,81.08907,9.30422
2388,20220923_171746,1663978666.067242620,3746823466.067242620,10.97193,90.45516,27.43291,-162.92249,-187.00937,-362.24906,60.78076,81.08723,9.31013
2389,20220923_171746,1663978666.569043160,3746823466.569043160,10.96774,90.45023,27.44006,-162.92039,-187.01011,-362.24575,60.78852,81.09351,9.30496
2390,20220923_171747,1663978667.068773750,3746823467.068773750,10.97107,90.45060,27.44339,-162.91498,-187.01035,-362.24968,60.78088,81.08377,9.30212
2391,20220923_171747,1663978667.568276880,3746823467.568276880,10.96762,90.44591,27.43525,-162.92249,-187.00641,-362.24625,60.78532,81.08575,9.30742
2392,20220923_171748,1663978668.069038390,3746823468.069038390,10.97230,90.44998,27.43624,-162.92397,-187.00826,-362.25080,60.78433,81.08427,9.30545
2393,20220923_171748,1663978668.569099900,3746823468.569099900,10.96922,90.44505,27.43205,-162.92138,-187.01085,-362.25116,60.78544,81.08932,9.30410
2394,20220923_171749,1663978669.069118980,3746823469.069118980,10.97267,90.44715,27.43747,-162.91953,-187.00801,-362.24883,60.78162,81.09142,9.30200
2395,20220923_171749,1663978669.569225790,3746823469.569225790,10.96429,90.44443,27.44006,-162.92249,-187.01442,-362.24587,60.78347,81.08661,9.30360
2396,20220923_171750,1663978670.070119860,3746823470.070119860,10.97587,90.44394,27.44240,-162.91867,-187.01590,-362.24747,60.77817,81.08994,9.30594
2397,20220923_171750,1663978670.570232870,3746823470.570232870,10.96688,90.44936,27.44055,-162.92385,-187.01295,-362.24108,60.78224,81.08895,9.30397
2398,20220923_171751,1663978671.070427890,3746823471.070427890,10.96799,90.44530,27.43525,-162.92015,-187.01479,-362.24575,60.78606,81.08488,9.30607
2399,20220923_171751,1663978671.570168020,3746823471.570168020,10.96602,90.45220,27.44154,-162.91769,-187.01159,-362.24403,60.77867,81.08796,9.30064
2400,20220923_171752,1663978672.070720670,3746823472.070720670,10.97144,90.44752,27.43821,-162.92052,-187.00739,-362.24144,60.77706,81.08476,9.30286
2401,20220923_171752,1663978672.570765020,3746823472.570765020,10.96429,90.44049,27.43242,-162.91312,-187.00998,-362.24034,60.78310,81.08575,9.30607
2402,20220923_171753,1663978673.070700640,3746823473.070700640,10.96688,90.44542,27.43377,-162.92175,-187.01011,-362.23872,60.78014,81.09031,9.30373
2403,20220923_171753,1663978673.570735930,3746823473.570735930,10.97119,90.44702,27.43451,-162.92360,-187.01282,-362.23750,60.78187,81.09326,9.30742
2404,20220923_171754,1663978674.070731160,3746823474.070731160,10.96515,90.44505,27.43550,-162.91806,-187.00937,-362.24341,60.78101,81.09080,9.30471
2405,20220923_171754,1663978674.571061610,3746823474.571061610,10.97033,90.43950,27.44055,-162.91941,-187.01307,-362.24070,60.78199,81.08760,9.30508
2406,20220923_171755,1663978675.071782590,3746823475.071782590,10.97329,90.44542,27.43513,-162.91806,-187.01491,-362.24070,60.78779,81.08858,9.30212
2407,20220923_171755,1663978675.571990490,3746823475.571990490,10.96700,90.44296,27.43981,-162.92187,-187.00432,-362.23934,60.78249,81.09166,9.30077
2408,20220923_171756,1663978676.071116920,3746823476.071116920,10.97045,90.44702,27.43969,-162.91757,-187.01528,-362.24563,60.78064,81.08796,9.30496
2409,20220923_171756,1663978676.572887900,3746823476.572887900,10.96318,90.44702,27.43587,-162.91941,-187.01258,-362.23984,60.78446,81.08686,9.30619
2410,20220923_171757,1663978677.072541710,3746823477.072541710,10.96700,90.44098,27.43587,-162.92027,-187.01332,-362.25104,60.77361,81.08599,9.30397
2411,20220923_171757,1663978677.572492600,3746823477.572492600,10.96577,90.44727,27.43242,-162.92286,-187.01282,-362.24477,60.78002,81.08156,9.30015
2412,20220923_171758,1663978678.072358610,3746823478.072358610,10.97008,90.44406,27.44154,-162.92039,-187.01307,-362.24575,60.78236,81.08661,9.30471
2413,20220923_171758,1663978678.572129730,3746823478.572129730,10.96614,90.44123,27.43427,-162.92101,-187.01282,-362.25190,60.77657,81.08279,9.30311
2414,20220923_171759,1663978679.072558400,3746823479.072558400,10.96811,90.44899,27.44080,-162.92015,-187.01479,-362.24980,60.77965,81.08550,9.30274
2415,20220923_171759,1663978679.572360990,3746823479.572360990,10.96984,90.44825,27.43710,-162.91904,-187.00986,-362.24132,60.78433,81.08599,9.30003
2416,20220923_171800,1663978680.073202610,3746823480.073202610,10.97008,90.44419,27.43870,-162.91965,-187.01011,-362.24871,60.77953,81.07798,9.29646
2417,20220923_171800,1663978680.573574540,3746823480.573574540,10.97144,90.45097,27.43710,-162.91842,-187.01602,-362.24551,60.78138,81.08291,9.30459
2418,20220923_171801,1663978681.073468680,3746823481.073468680,10.96602,90.44591,27.43427,-162.92002,-187.00444,-362.24303,60.78458,81.08735,9.30693
2419,20220923_171801,1663978681.574316980,3746823481.574316980,10.97514,90.44665,27.43661,-162.92335,-187.01270,-362.24649,60.77657,81.08550,9.30336
2420,20220923_171802,1663978682.074690340,3746823482.074690340,10.96823,90.44727,27.43550,-162.91854,-187.00813,-362.24132,60.78236,81.08464,9.30064
2421,20220923_171802,1663978682.574975970,3746823482.574975970,10.97193,90.44875,27.43858,-162.91720,-187.00986,-362.24093,60.78655,81.09240,9.29966
2422,20220923_171803,1663978683.074870590,3746823483.074870590,10.96774,90.44185,27.43513,-162.91904,-187.01344,-362.24735,60.77571,81.08464,9.30274
2423,20220923_171803,1663978683.574625010,3746823483.574625010,10.96811,90.44554,27.43562,-162.91658,-187.01184,-362.24995,60.77411,81.09228,9.30767
2424,20220923_171804,1663978684.074694630,3746823484.074694630,10.96651,90.44493,27.43353,-162.92286,-187.01824,-362.25252,60.77830,81.08451,9.30188
2425,20220923_171804,1663978684.574912070,3746823484.574912070,10.95887,90.44160,27.43180,-162.91941,-187.01233,-362.24921,60.78039,81.07897,9.30434
2426,20220923_171805,1663978685.074693680,3746823485.074693680,10.96331,90.43729,27.43427,-162.92644,-187.01565,-362.24821,60.77509,81.08143,9.29682
2427,20220923_171805,1663978685.574265000,3746823485.574265000,10.96491,90.43458,27.43537,-162.92286,-187.02095,-362.24821,60.78384,81.08094,9.30015
2428,20220923_171806,1663978686.074607850,3746823486.074607850,10.96121,90.44259,27.43205,-162.92261,-187.01171,-362.24871,60.77620,81.08291,9.30533
2429,20220923_171806,1663978686.574220180,3746823486.574220180,10.96220,90.44394,27.43328,-162.92545,-187.01947,-362.25030,60.78027,81.08538,9.29818
2430,20220923_171807,1663978687.074250220,3746823487.074250220,10.96725,90.44283,27.43624,-162.92397,-187.01479,-362.24871,60.77940,81.08353,9.29535
2431,20220923_171807,1663978687.574692730,3746823487.574692720,10.96676,90.44357,27.43266,-162.92914,-187.01429,-362.24661,60.77817,81.08649,9.29991
2432,20220923_171808,1663978688.076014520,3746823488.076014520,10.96577,90.44000,27.43599,-162.92311,-187.01849,-362.24921,60.77583,81.07835,9.29769
2433,20220923_171808,1663978688.575716970,3746823488.575716970,10.96084,90.44357,27.43476,-162.92261,-187.00986,-362.24895,60.77521,81.07737,9.30151
2434,20220923_171809,1663978689.075666430,3746823489.075666430,10.97169,90.44431,27.42983,-162.91732,-187.01392,-362.24699,60.77460,81.07761,9.29806
2435,20220923_171809,1663978689.576003070,3746823489.576003070,10.96626,90.44715,27.43303,-162.92002,-187.01787,-362.24267,60.77854,81.08119,9.29843
2436,20220923_171810,1663978690.075903420,3746823490.075903410,10.97119,90.44801,27.43217,-162.91978,-187.01688,-362.24501,60.77472,81.08168,9.29682
2437,20220923_171810,1663978690.576754570,3746823490.576754570,10.96072,90.44542,27.43562,-162.92089,-187.01935,-362.24933,60.77904,81.08180,9.30114
2438,20220923_171811,1663978691.076650620,3746823491.076650620,10.97169,90.43827,27.43205,-162.92224,-187.01886,-362.25190,60.77152,81.08180,9.30188
2439,20220923_171811,1663978691.576695920,3746823491.576695920,10.96996,90.44517,27.43020,-162.92187,-187.01295,-362.24773,60.77916,81.08254,9.29892
2440,20220923_171812,1663978692.076723100,3746823492.076723100,10.96552,90.44000,27.43180,-162.92064,-187.01590,-362.24575,60.77657,81.08057,9.29609
2441,20220923_171812,1663978692.576799390,3746823492.576799390,10.96552,90.45183,27.43599,-162.92138,-187.01627,-362.24859,60.78483,81.08784,9.29769
